수집일자,매장명,타겟키워드,현재순위,등락폭,1위_매장명,1위_사용_키워드,AI_인사이트
2026-03-30,달빛에구운고등어 남원점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 남원점,남원생선구이,3,-,,,
2026-03-30,달빛에구운고등어 목포대양점,생선구이,999,-,,,
2026-03-30,달빛에구운고등어 목포대양점,고등어,999,-,,,
2026-03-30,달빛에구운고등어 목포대양점,목포생선구이,999,-,,,
2026-03-30,달빛에구운고등어 순천법원점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 순천법원점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 순천법원점,순천생선구이,4,-,,,
2026-03-30,달빛에구운고등어 논산점,논산훈련소,999,-,,,
2026-03-30,달빛에구운고등어 논산점,딸기축제,999,-,,,
2026-03-30,달빛에구운고등어 논산점,날씨,999,-,,,
2026-03-30,달빛에구운고등어 세종대평점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 세종대평점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 세종대평점,가족식사,999,-,,,
2026-03-30,달빛에구운고등어 대구시지점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 대구시지점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 대구시지점,대구생선구이,999,-,,,
2026-03-30,달빛에구운고등어 부산송정점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 부산송정점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 부산송정점,송정생선구이,1,-,,,
2026-03-30,달빛에구운고등어 화성향남점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 화성향남점,향남생선구이,2,-,,,
2026-03-30,달빛에구운고등어 화성향남점,향남가족외식,2,-,,,
2026-03-30,달빛에구운고등어 청주율량점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 청주율량점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 청주율량점,청주생선구이,7,-,,,
2026-03-30,달빛에구운고등어 대전효동점,대전고등어,999,-,,,
2026-03-30,달빛에구운고등어 대전효동점,대전생선구이,999,-,,,
2026-03-30,달빛에구운고등어 대전효동점,대전효동생선구이,2,-,,,
2026-03-30,달빛에구운고등어 보령점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 보령점,보령가족외식,999,-,,,
2026-03-30,달빛에구운고등어 보령점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 풍암점,생선구이,999,-,,,
2026-03-30,달빛에구운고등어 풍암점,무한리필,999,-,,,
2026-03-30,달빛에구운고등어 풍암점,가족외식단체모임회식,999,-,,,
2026-03-30,달빛에구운고등어 천안구성점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 천안구성점,천안생선구이,999,-,,,
2026-03-30,달빛에구운고등어 천안구성점,생선구이,999,-,,,
2026-03-30,달빛에구운고등어 평택비전점,평택대학교근처점심저녁생선구이,999,-,,,
2026-03-30,달빛에구운고등어 평택비전점,소사벌주변찐단체회식가성비식당,999,-,,,
2026-03-30,달빛에구운고등어 평택비전점,평택역내돈내산직장인배달고등어,999,-,,,
2026-03-30,달빛에구운고등어 수원월드컵점,수원생선구이,999,-,,,
2026-03-30,달빛에구운고등어 수원월드컵점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 수원월드컵점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 광주진월점,가족외식,999,-,,,
2026-03-30,달빛에구운고등어 광주진월점,점심,999,-,,,
2026-03-30,달빛에구운고등어 광주진월점,생선구이,999,-,,,
2026-03-30,달빛에구운고등어 용인죽전점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 용인죽전점,죽전생선구이,2,-,,,
2026-03-30,달빛에구운고등어 용인죽전점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 당진시청점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 당진시청점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 당진시청점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 정읍점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 정읍점,정읍생선구이,1,-,,,
2026-03-30,달빛에구운고등어 정읍점,정읍가족식사,1,-,,,
2026-03-30,달빛에구운고등어 유가현풍점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 유가현풍점,현풍생선구이,999,-,,,
2026-03-30,달빛에구운고등어 유가현풍점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 부산 명지국제신도시점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 부산 명지국제신도시점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 부산 명지국제신도시점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 포항양덕점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 포항양덕점,무한리필,999,-,,,
2026-03-30,달빛에구운고등어 포항양덕점,가족외식,999,-,,,
2026-03-30,달빛에구운고등어 원주우산점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 원주우산점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 원주우산점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 용인유림점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 용인유림점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 용인유림점,가족,999,-,,,
2026-03-30,달빛에구운고등어 나주혁신점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 나주혁신점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 나주혁신점,고등어구이,999,-,,,
2026-03-30,달빛에구운고등어 계양구청점,한정식,999,-,,,
2026-03-30,달빛에구운고등어 계양구청점,점심,999,-,,,
2026-03-30,달빛에구운고등어 계양구청점,가족모임,999,-,,,
2026-03-30,달빛에구운고등어 여수시청점,점심식사,999,-,,,
2026-03-30,달빛에구운고등어 여수시청점,무한리필,999,-,,,
2026-03-30,달빛에구운고등어 여수시청점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 파주운정점,달빛고,999,-,,,
2026-03-30,달빛에구운고등어 파주운정점,화덕생선구이,999,-,,,
2026-03-30,달빛에구운고등어 파주운정점,점심식사,999,-,,,
2026-03-30,달빛에구운고등어 천안신방점,화덕생선구이,999,-,,,
